co_code,company_name,date,bse_closing_price,bse_traded_qty,bse_avg_rate,bse_market_cap,nse_opening_price,nse_high_price,nse_low_price,nse_closing_price,nse_returns,nse_traded_qty,nse_traded_val,nse_avg_rate,nse_market_cap,nse_pe,nse_pb,nse_bv_per_share,equity_shares_on_stkdate,KZ Index,Ownership,Quartile
379145,AGARWAL INDUSTRIAL CORPN. LTD.,2019-03-22,172.45,265.0,177.85,1769.1209,161.15,168.4,160.25,161.35,0.97,7020.0,1.1,162.53,1655.2488,16.086,1.3085,123.3094,10258747.0,-0.9293268324795074,Private (Indian),2
379145,AGARWAL INDUSTRIAL CORPN. LTD.,2019-03-25,162.0,150.0,161.93,1661.917,162.95,163.0,156.55,157.45,0.98,10247.0,1.6,159.72,1615.2397,15.6972,1.2769,123.3094,10258747.0,-0.9293268324795074,Private (Indian),2
379145,AGARWAL INDUSTRIAL CORPN. LTD.,2019-03-26,164.9,195.0,164.25,1691.6674,164.85,164.85,157.0,157.7,1.0,1131.0,0.2,158.23,1617.8044,15.7221,1.2789,123.3094,10258747.0,-0.9293268324795074,Private (Indian),2
379145,AGARWAL INDUSTRIAL CORPN. LTD.,2019-03-27,159.15,65334.0,162.24,1632.6796,160.5,160.5,151.75,153.8,0.98,66215.0,10.5,158.11,1577.7953,15.3333,1.2473,123.3094,10258747.0,-0.9293268324795074,Private (Indian),2
379145,AGARWAL INDUSTRIAL CORPN. LTD.,2019-03-28,161.25,1356.0,159.79,1654.223,154.05,167.0,154.05,163.65,1.06,4627.0,0.7,160.15,1678.8439,16.3153,1.3271,123.3094,10258747.0,-0.9293268324795074,Private (Indian),2
379145,AGARWAL INDUSTRIAL CORPN. LTD.,2019-03-29,165.2,540.0,163.48,1694.745,163.45,163.45,156.05,158.95,0.97,676.0,0.1,160.1,1630.6278,15.8467,1.289,123.3094,10258747.0,-0.9293268324795074,Private (Indian),2
379682,ASIAN HOTELS (WEST) LTD.,2019-03-01,335.05,9.0,338.56,3903.7379,335.05,344.95,335.05,340.0,0.97,233.0,0.1,340.56,3961.4114,15.6454,1.2226,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-05,342.0,200.0,353.0,3984.7138,332.0,350.0,332.0,345.0,1.01,1026.0,0.4,343.96,4019.6674,15.8755,1.2406,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-06,340.0,150.0,340.0,3961.4114,340.05,359.0,340.05,349.9,1.01,274.0,0.1,346.68,4076.7584,16.1009,1.2582,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-07,,,,,340.0,340.0,338.0,338.0,0.97,25.0,0.0,339.2,3938.109,15.5534,1.2154,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-08,341.0,5.0,341.0,3973.0626,358.95,358.95,342.05,342.05,1.01,31.0,0.0,347.57,3985.2964,15.7397,1.23,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-11,353.9,213.0,352.48,4123.3632,342.3,342.3,342.3,342.3,1.0,2.0,0.0,342.3,3988.2092,15.7512,1.2309,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-12,,,,,362.9,362.9,337.25,349.8,1.02,1931.0,0.7,347.2,4075.5933,16.0963,1.2578,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-13,350.2,402.0,352.91,4080.2537,345.05,354.0,345.05,351.95,1.01,673.0,0.2,349.77,4100.6434,16.1953,1.2656,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-14,350.05,950.0,353.26,4078.5061,343.05,351.95,343.05,350.0,0.99,189.0,0.1,348.63,4077.9235,16.1055,1.2585,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-15,348.0,1037.0,344.6,4054.6211,343.0,359.95,340.0,345.0,0.99,806.0,0.3,346.36,4019.6674,15.8755,1.2406,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-18,,,,,359.7,359.7,340.65,345.05,1.0,313.0,0.1,345.08,4020.25,15.8778,1.2407,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-19,,,,,340.0,350.0,330.25,350.0,1.01,579.0,0.2,340.12,4077.9235,16.1055,1.2585,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-20,352.0,350.0,342.01,4101.2259,340.6,354.8,330.25,350.0,1.0,1940.0,0.7,344.74,4077.9235,16.1055,1.2585,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-22,343.3,381.0,343.44,3999.8604,361.9,361.9,350.0,350.55,1.0,363.0,0.1,350.77,4084.3317,16.1309,1.2605,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-25,342.75,6726.0,346.56,3993.4522,350.0,350.0,340.0,341.9,0.98,444.0,0.2,346.94,3983.5487,15.7328,1.2294,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-26,336.55,8124.0,348.58,3921.2147,327.05,340.1,327.05,340.0,0.99,40.0,0.0,339.69,3961.4114,15.6454,1.2226,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-27,340.0,50.0,340.0,3961.4114,343.1,345.05,340.2,345.0,1.01,122.0,0.0,342.54,4019.6674,15.8755,1.2406,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-28,336.15,384.0,342.96,3916.5542,340.1,340.1,331.1,333.5,0.97,255.0,0.1,336.62,3885.6785,15.3463,1.1992,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
379682,ASIAN HOTELS (WEST) LTD.,2019-03-29,352.0,2.0,350.0,4101.2259,340.0,360.0,336.05,350.05,1.05,577.0,0.2,349.3,4078.5061,16.1078,1.2587,278.0999,11651210.0,1.4934326824985316,Gupta Group,4
384085,PARAG MILK FOODS LTD.,2019-03-01,234.55,25323.0,233.31,19729.0752,230.4,236.65,225.4,234.9,1.03,465462.0,108.7,233.48,19758.5153,18.3204,2.4622,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-05,241.75,14602.0,241.06,20334.7002,235.9,244.6,235.85,241.75,1.03,219732.0,53.0,241.14,20334.7002,18.8546,2.534,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-06,245.9,37015.0,246.54,20683.7757,243.9,249.3,243.9,245.8,1.02,278980.0,68.8,246.76,20675.3643,19.1705,2.5764,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-07,241.15,16625.0,242.42,20284.2314,245.9,245.9,240.0,241.35,0.98,100221.0,24.3,242.45,20301.0544,18.8234,2.5298,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-08,239.85,9106.0,240.47,20174.8825,240.0,242.8,238.55,241.0,1.0,84542.0,20.3,240.34,20271.6143,18.7961,2.5261,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-11,257.15,79970.0,253.68,21630.0648,242.0,260.0,241.9,257.95,1.07,1143008.0,289.4,253.18,21697.3564,20.1181,2.7038,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-12,256.45,68259.0,259.31,21571.1846,257.0,262.2,253.95,255.95,0.99,293718.0,75.7,257.79,21529.1273,19.9621,2.6828,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-13,256.15,11979.0,255.86,21545.9502,255.9,259.6,253.85,256.2,1.0,157122.0,40.2,256.01,21550.1559,19.9816,2.6854,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-14,255.4,9335.0,254.78,21482.8642,256.0,258.5,252.5,256.25,1.0,117780.0,30.1,255.36,21554.3616,19.9855,2.6859,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-15,254.05,10411.0,255.75,21369.3096,257.0,259.0,254.8,255.85,1.0,173978.0,44.6,256.15,21520.7158,19.9543,2.6817,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-18,255.35,17066.0,255.49,21478.6585,256.0,259.9,251.0,256.0,1.0,150874.0,38.6,255.63,21533.333,19.966,2.6833,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-19,255.45,44346.0,256.91,21487.07,254.25,261.0,254.25,256.4,1.0,125140.0,32.2,257.31,21566.9788,19.9972,2.6875,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-20,256.55,10414.0,256.58,21579.596,257.6,259.0,256.15,257.25,1.0,73953.0,19.0,257.18,21638.4762,20.0635,2.6964,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-22,255.75,32040.0,256.75,21512.3043,257.5,259.9,255.05,256.75,1.0,114598.0,29.5,256.99,21596.4189,20.0245,2.6912,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-25,253.4,10562.0,254.0,21314.6351,258.0,258.8,252.25,253.35,0.99,146978.0,37.3,253.54,21310.4293,19.7593,2.6555,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-26,256.8,25925.0,255.06,21600.6247,255.4,257.35,252.7,256.75,1.01,116320.0,29.7,255.29,21596.4189,20.0245,2.6912,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-27,257.6,12505.0,256.89,21667.9163,256.0,258.35,254.55,255.9,1.0,168942.0,43.2,255.96,21524.9215,19.9582,2.6823,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-28,256.7,6753.0,256.99,21592.2132,254.0,258.15,254.0,257.15,1.0,72108.0,18.5,256.99,21630.0648,20.0557,2.6954,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384085,PARAG MILK FOODS LTD.,2019-03-29,261.5,26835.0,258.56,21995.9632,254.15,264.0,254.15,260.75,1.01,115344.0,29.8,258.72,21932.8773,20.3365,2.7331,95.4044,84114582.0,-0.31393233066843684,Private (Indian),3
384616,P C JEWELLER LTD.,2019-03-01,72.25,697467.0,72.27,28513.3171,71.0,73.5,70.7,72.3,1.02,8338836.0,602.4,72.24,28533.0495,5.8483,0.6635,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-05,79.7,2186667.0,77.73,31453.4446,72.3,80.9,71.35,79.7,1.1,26817370.0,2088.6,77.88,31453.4446,6.4468,0.7315,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-06,78.35,2647625.0,80.66,30920.6698,80.9,82.85,77.6,78.35,0.98,20520701.0,1652.1,80.51,30920.6698,6.3376,0.7191,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-07,79.15,1276368.0,79.9,31236.3882,78.2,81.5,78.15,79.25,1.01,14338707.0,1145.7,79.9,31275.853,6.4104,0.7273,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-08,77.45,778904.0,77.71,30565.4866,79.25,79.55,76.6,77.45,0.98,8698833.0,675.5,77.65,30565.4866,6.2648,0.7108,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-11,79.95,903959.0,80.15,31552.1066,77.55,81.95,77.5,79.95,1.03,10117738.0,811.2,80.17,31552.1066,6.4671,0.7338,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-12,80.25,596930.0,80.67,31670.501,80.4,81.9,79.7,80.3,1.0,8084428.0,652.3,80.68,31690.2334,6.4954,0.737,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-13,80.9,589569.0,79.7,31927.0221,80.75,82.25,78.05,80.75,1.01,7577505.0,603.3,79.62,31867.825,6.5318,0.7411,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-14,86.25,3285930.0,85.72,34038.3889,82.5,89.0,81.1,86.25,1.07,37443678.0,3218.2,85.95,34038.3889,6.9767,0.7916,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-15,82.95,1083007.0,84.39,32736.0505,86.9,87.0,82.15,83.0,0.96,13384888.0,1128.1,84.28,32755.7829,6.7138,0.7617,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-18,82.1,813270.0,82.54,32400.5997,83.0,84.75,81.4,82.15,0.99,8882577.0,733.7,82.6,32420.3321,6.645,0.7539,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-19,80.45,600256.0,80.74,31749.4306,82.3,83.0,79.6,80.55,0.98,7730741.0,624.8,80.82,31788.8954,6.5156,0.7393,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-20,82.1,1258250.0,82.01,32400.5997,80.9,83.9,79.2,82.15,1.02,14992437.0,1228.8,81.96,32420.3321,6.645,0.7539,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-22,80.5,708579.0,81.71,31769.163,82.5,83.6,79.85,80.65,0.98,8719695.0,712.3,81.69,31828.3602,6.5237,0.7402,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-25,78.7,605935.0,78.68,31058.7966,78.25,80.0,77.25,78.9,0.98,7163492.0,563.3,78.63,31137.7262,6.3821,0.7241,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
384616,P C JEWELLER LTD.,2019-03-26,79.95,453706.0,79.77,31552.1066,79.25,80.8,78.7,80.15,1.02,4497491.0,358.8,79.78,31631.0362,6.4832,0.7356,108.9596,394647987.0,-10.56711965025795,Private (Indian),1
